site,Prob,model,,RF_prob,SVM_prob
237,4.83E-05,XGB_prob,,0.01,0.001458445
260,2.18E-05,XGB_prob,,0,0.000333235
22,0.0001661,XGB_prob,,0,0.001240257
258,0.000396441,XGB_prob,,0.03,0.003978036
260,1.99E-05,XGB_prob,,0,0.002895496
101,0.000155068,XGB_prob,,0,0.002244322
260,3.27E-05,XGB_prob,,0,0.002821797
260,4.72E-05,XGB_prob,,0.01,0.008117354
258,0.000195217,XGB_prob,,0,0.000824641
215,3.94E-05,XGB_prob,,0,0.00086488
260,0.00011655,XGB_prob,,0,0.000614175
258,8.94E-06,XGB_prob,,0,0.00034453
122,5.01E-05,XGB_prob,,0,0.007313982
240,4.31E-05,XGB_prob,,0,0.000423697
260,3.16E-05,XGB_prob,,0,0.000435606
118,4.37E-05,XGB_prob,,0,0.001237902
240,1.51E-05,XGB_prob,,0,0.000472044
233,9.67E-06,XGB_prob,,0,0.000180564
260,1.97E-05,XGB_prob,,0,0.000756207
259,0.000188161,XGB_prob,,0.01,0.037223178
260,2.50E-05,XGB_prob,,0,0.000457069
259,3.12E-05,XGB_prob,,0,0.000167245
93,6.17E-05,XGB_prob,,0.02,0.000582984
260,1.83E-05,XGB_prob,,0,0.000260542
260,7.08E-05,XGB_prob,,0.01,0.001064349
98,7.75E-05,XGB_prob,,0,0.001020542
260,0.001451936,XGB_prob,,0.01,0.001850536
132,0.00491997,XGB_prob,,0,0.00292928
240,6.58E-05,XGB_prob,,0.01,0.004445366
15,2.29E-05,XGB_prob,,0,0.000220612
215,7.05E-05,XGB_prob,,0.02,0.028944775
75,0.000185398,XGB_prob,,0.01,0.003549038
154,6.33E-05,XGB_prob,,0.01,0.000759448
260,5.55E-05,XGB_prob,,0,0.001014563
249,5.62E-06,XGB_prob,,0,0.000240914
107,2.04E-05,XGB_prob,,0,0.000157208
133,0.000327099,XGB_prob,,0.01,0.001845557
260,1.92E-05,XGB_prob,,0,0.001534108
107,0.000879104,XGB_prob,,0.01,0.011437393
248,5.95E-06,XGB_prob,,0,0.000390067
53,1.69E-05,XGB_prob,,0.01,0.037382662
91,0.00010436,XGB_prob,,0,0.015585233
250,3.35E-05,XGB_prob,,0,0.001142198
256,0.016211471,XGB_prob,,0.07,0.011591249
238,5.41E-05,XGB_prob,,0,0.000615616
208,8.38E-06,XGB_prob,,0,0.000167028
260,8.63E-06,XGB_prob,,0,0.00013667
258,1.72E-05,XGB_prob,,0,0.001009197
260,0.000379081,XGB_prob,,0,0.00140971
260,7.76E-05,XGB_prob,,0,0.001815131
76,1.19E-05,XGB_prob,,0,7.89E-05
258,0.010982814,XGB_prob,,0,0.03456673
258,0.000463823,XGB_prob,,0,0.026890294
40,0.000211872,XGB_prob,,0.01,0.001337902
260,6.20E-05,XGB_prob,,0,0.01368515
260,9.82E-06,XGB_prob,,0,0.000154361
260,0.000930403,XGB_prob,,0.03,0.037428225
260,3.81E-05,XGB_prob,,0,0.000432131
239,0.000129013,XGB_prob,,0,0.002241547
260,4.91E-05,XGB_prob,,0,0.002323097
259,7.20E-05,XGB_prob,,0,0.000898769
260,3.82E-05,XGB_prob,,0,0.000825847
260,4.53E-05,XGB_prob,,0,0.002135233
237,8.66E-06,XGB_prob,,0,0.000514107
251,7.19E-05,XGB_prob,,0,0.002712274
250,4.22E-05,XGB_prob,,0.07,0.100866545
118,0.001082357,XGB_prob,,0,0.000647452
256,8.82E-05,XGB_prob,,0,0.010737284
260,5.73E-05,XGB_prob,,0,0.001421172
17,0.000129996,XGB_prob,,0,0.011311329
256,4.85E-05,XGB_prob,,0,0.000721234
98,2.60E-05,XGB_prob,,0,0.004160993
48,0.0036786,XGB_prob,,0,0.03238173
258,1.08E-05,XGB_prob,,0,0.000285053
240,0.000483042,XGB_prob,,0,0.000520855
260,2.56E-05,XGB_prob,,0,0.000729463
256,5.02E-05,XGB_prob,,0,0.001163672
259,5.20E-05,XGB_prob,,0,8.06E-05
260,0.000143309,XGB_prob,,0,0.007052939
260,7.10E-06,XGB_prob,,0,0.000185066
53,2.93E-05,XGB_prob,,0,0.001269994
260,0.000289472,XGB_prob,,0.02,0.005624883
260,2.94E-05,XGB_prob,,0,0.000153975
107,1.04E-05,XGB_prob,,0,0.003377377
232,5.37E-05,XGB_prob,,0,0.037333408
73,4.26E-05,XGB_prob,,0,0.016607008
242,1.99E-05,XGB_prob,,0,0.000807114
133,2.11E-05,XGB_prob,,0,0.00011642
216,0.000638677,XGB_prob,,0.04,0.03740559
258,1.47E-05,XGB_prob,,0,0.000212039
250,2.58E-05,XGB_prob,,0,0.000155675
76,0.000128235,XGB_prob,,0,0.003834966
259,1.14E-05,XGB_prob,,0,0.000176276
260,1.34E-05,XGB_prob,,0,0.00023005
260,4.04E-05,XGB_prob,,0,0.000331504
260,0.000142319,XGB_prob,,0,0.000169101
217,3.29E-05,XGB_prob,,0,0.000359195
260,9.01E-06,XGB_prob,,0,0.000147225
149,0.001608678,XGB_prob,,0,0.010760184
72,2.48E-05,XGB_prob,,0,6.77E-05
260,0.000294413,XGB_prob,,0.09,0.031195678
172,0.000102526,XGB_prob,,0,0.000807174
259,0.001063453,XGB_prob,,0.01,0.004570651
260,2.42E-05,XGB_prob,,0,4.21E-05
139,2.95E-05,XGB_prob,,0,0.000299984
109,4.99E-05,XGB_prob,,0,0.000234859
255,0.000383688,XGB_prob,,0,0.002378612
260,5.22E-05,XGB_prob,,0,0.000323023
248,4.06E-05,XGB_prob,,0,0.000241597
256,0.000102792,XGB_prob,,0,0.002203854
260,0.000100076,XGB_prob,,0,0.001527279
210,3.52E-05,XGB_prob,,0,0.000109589
258,0.001976237,XGB_prob,,0.16,0.006994835
74,2.00E-05,XGB_prob,,0,0.000557947
250,5.70E-05,XGB_prob,,0,0.0001262
260,0.000142538,XGB_prob,,0,0.010543466
260,2.91E-05,XGB_prob,,0,0.000487815
92,0.000834422,XGB_prob,,0.01,0.037345559
259,1.98E-05,XGB_prob,,0,7.28E-05
260,2.12E-05,XGB_prob,,0,0.000325598
33,1.89E-05,XGB_prob,,0,7.41E-05
99,0.000323676,XGB_prob,,0.01,0.037391727
26,2.96E-05,XGB_prob,,0,7.18E-05
260,7.26E-05,XGB_prob,,0,0.000528072
215,0.000170343,XGB_prob,,0,0.006144538
260,0.000791135,XGB_prob,,0.02,0.037382321
258,3.23E-05,XGB_prob,,0,0.000201409
258,0.000125061,XGB_prob,,0,0.000530648
260,1.75E-05,XGB_prob,,0,0.000344822
256,0.000401925,XGB_prob,,0.05,0.000859466
260,0.00116722,XGB_prob,,0.01,0.01013779
181,0.000684797,XGB_prob,,0,0.000934927
209,0.00535322,XGB_prob,,0.02,0.052960716
260,5.30E-06,XGB_prob,,0,0.000121704
260,0.000487698,XGB_prob,,0.04,0.016325306
260,0.000317203,XGB_prob,,0,0.03434581
260,4.27E-05,XGB_prob,,0,0.002109745
91,0.007063769,XGB_prob,,0.01,0.024127521
260,0.005235496,XGB_prob,,0.07,0.026881608
210,1.14E-05,XGB_prob,,0,0.000290963
260,4.20E-05,XGB_prob,,0,0.037335956
260,0.022230169,XGB_prob,,0.29,0.039409649
260,0.000311959,XGB_prob,,0,0.005564421
260,2.58E-05,XGB_prob,,0,0.000368341
116,0.000434299,XGB_prob,,0.03,0.003037482
26,7.06E-06,XGB_prob,,0,5.09E-05
260,6.33E-05,XGB_prob,,0,0.002653651
239,0.000539431,XGB_prob,,0.01,0.000554471
260,2.72E-05,XGB_prob,,0,0.00010463
240,5.88E-06,XGB_prob,,0,8.56E-05
260,0.00010094,XGB_prob,,0,0.001020894
260,0.000206329,XGB_prob,,0,0.019368428
92,4.90E-05,XGB_prob,,0,0.008432214
256,7.91E-05,XGB_prob,,0,0.003395883
260,2.58E-05,XGB_prob,,0,0.001251191
159,7.30E-05,XGB_prob,,0,0.000636261
258,9.43E-06,XGB_prob,,0,0.000217893
111,8.34E-05,XGB_prob,,0,0.000981657
256,3.71E-05,XGB_prob,,0,0.001963402
249,1.75E-05,XGB_prob,,0,2.51E-05
89,0.001050251,XGB_prob,,0.06,0.012639361
136,2.00E-05,XGB_prob,,0,0.00021278
260,1.19E-05,XGB_prob,,0,4.89E-05
258,0.000108848,XGB_prob,,0,0.000726828
240,6.44E-05,XGB_prob,,0,0.001748132
78,0.000303965,XGB_prob,,0,0.000275969
90,5.63E-05,XGB_prob,,0,0.000828356
215,0.000132299,XGB_prob,,0,0.0003127
260,2.07E-05,XGB_prob,,0,9.11E-05
251,0.000164983,XGB_prob,,0.01,0.009087111
240,0.000314597,XGB_prob,,0.01,0.076557295
154,8.21E-05,XGB_prob,,0,0.001254696
260,4.85E-05,XGB_prob,,0,0.001137605
15,9.90E-06,XGB_prob,,0,0.002226729
260,8.84E-05,XGB_prob,,0,0.000911675
260,5.54E-05,XGB_prob,,0,0.000781963
260,0.00017953,XGB_prob,,0,0.008895758
248,5.45E-05,XGB_prob,,0,0.00020968
251,1.21E-05,XGB_prob,,0,0.00012272
260,5.24E-05,XGB_prob,,0,0.000319434
260,1.29E-05,XGB_prob,,0,0.000182098
258,2.09E-05,XGB_prob,,0,9.45E-05
218,2.92E-05,XGB_prob,,0,0.002281635
66,1.90E-05,XGB_prob,,0,0.000334664
111,1.73E-05,XGB_prob,,0,0.000308893
260,7.36E-05,XGB_prob,,0,0.000250874
260,2.17E-05,XGB_prob,,0,9.18E-05
259,2.23E-05,XGB_prob,,0,0.000188602
260,1.70E-05,XGB_prob,,0,5.31E-05
258,0.00296667,XGB_prob,,0.12,0.056363837
260,6.05E-05,XGB_prob,,0,0.000441817
260,4.73E-05,XGB_prob,,0,0.001939118
53,1.02E-05,XGB_prob,,0,0.000958874
260,1.53E-05,XGB_prob,,0,0.000278553
256,1.95E-05,XGB_prob,,0,0.000415981
260,0.000582269,XGB_prob,,0,0.003927867
260,3.61E-05,XGB_prob,,0,0.000244169
259,0.007033288,XGB_prob,,0.01,0.023401571
94,1.35E-05,XGB_prob,,0,0.000170571
76,1.05E-05,XGB_prob,,0,0.000164383
260,0.0001743,XGB_prob,,0.01,0.042278433
259,2.23E-05,XGB_prob,,0,0.000593543
234,0.00157676,XGB_prob,,0.03,0.017980325
259,3.16E-05,XGB_prob,,0,0.000140235
260,2.78E-05,XGB_prob,,0,9.14E-05
258,3.76E-05,XGB_prob,,0,0.003118821
209,7.54E-05,XGB_prob,,0.01,0.003504582
259,0.00048013,XGB_prob,,0,0.004918828
211,1.80E-05,XGB_prob,,0,0.000141183
258,0.000582701,XGB_prob,,0.02,0.004485703
172,3.94E-05,XGB_prob,,0,0.00283956
260,6.45E-05,XGB_prob,,0,0.008844599
260,7.28E-06,XGB_prob,,0,6.21E-05
239,2.41E-05,XGB_prob,,0,0.000143481
260,3.56E-05,XGB_prob,,0,0.001459662
258,0.002529276,XGB_prob,,0.03,0.009450357
170,4.76E-05,XGB_prob,,0,0.000448641
209,1.04E-05,XGB_prob,,0,0.000157006
184,2.26E-05,XGB_prob,,0,0.00019253
256,0.000720288,XGB_prob,,0,0.000947933
256,7.24E-06,XGB_prob,,0,0.000343554
260,7.44E-06,XGB_prob,,0,5.09E-05
260,6.06E-05,XGB_prob,,0,0.000918784
260,2.63E-05,XGB_prob,,0,0.000543537
136,2.82E-05,XGB_prob,,0,0.000213284
258,0.000123246,XGB_prob,,0,0.002272845
258,0.000117328,XGB_prob,,0,0.000231819
260,1.21E-05,XGB_prob,,0,0.000236675
130,9.22E-05,XGB_prob,,0,0.00100748
109,0.001126337,XGB_prob,,0,0.008818636
260,1.37E-05,XGB_prob,,0,0.000570412
124,7.77E-05,XGB_prob,,0,0.005453285
260,9.11E-06,XGB_prob,,0,0.000819262
241,7.54E-05,XGB_prob,,0,0.001430456
224,6.93E-05,XGB_prob,,0,0.003424875
260,4.95E-05,XGB_prob,,0,0.000429036
260,0.011686961,XGB_prob,,0.04,0.037420719
260,3.01E-05,XGB_prob,,0,0.000740917
260,0.011746814,XGB_prob,,0.15,0.035638923
87,2.41E-05,XGB_prob,,0,0.000172706
258,5.13E-05,XGB_prob,,0,0.000238165
93,1.24E-05,XGB_prob,,0,0.00013295
257,0.022725623,XGB_prob,,0.18,0.310068229
256,0.000108533,XGB_prob,,0,0.000387432
260,3.89E-05,XGB_prob,,0,8.54E-05
95,5.28E-05,XGB_prob,,0,0.000156774
258,1.95E-05,XGB_prob,,0,6.60E-05
237,0.002570173,XGB_prob,,0,0.00296813
131,0.000226231,XGB_prob,,0.01,0.006868802
17,4.23E-05,XGB_prob,,0,0.000607589
257,1.86E-05,XGB_prob,,0,6.19E-05
260,0.000138606,XGB_prob,,0,0.01494091
256,0.000104582,XGB_prob,,0,0.011615549
107,0.000340167,XGB_prob,,0,0.00432549
154,1.44E-05,XGB_prob,,0,0.000118236
260,2.95E-05,XGB_prob,,0,0.000757834
259,0.000154193,XGB_prob,,0.06,0.011890047
260,4.74E-05,XGB_prob,,0,0.000979578
260,1.53E-05,XGB_prob,,0,0.000297747
68,1.48E-05,XGB_prob,,0,0.000163838
260,6.94E-05,XGB_prob,,0,0.000393525
258,0.000109593,XGB_prob,,0,0.000809674
260,0.001927264,XGB_prob,,0.09,0.019044882
209,1.18E-05,XGB_prob,,0,8.71E-05
260,0.017091157,XGB_prob,,0.03,0.020369968
260,6.65E-06,XGB_prob,,0,0.000745302
260,1.94E-05,XGB_prob,,0,0.000133872
260,0.000203124,XGB_prob,,0,0.003303039
250,2.19E-05,XGB_prob,,0,0.001473665
234,5.65E-05,XGB_prob,,0,0.001173208
260,4.62E-05,XGB_prob,,0,0.00453745
119,0.016723678,XGB_prob,,0.03,0.037390595
260,2.17E-05,XGB_prob,,0,0.000266238
258,4.73E-05,XGB_prob,,0,0.00115814
260,2.62E-05,XGB_prob,,0,9.01E-05
260,1.81E-05,XGB_prob,,0,0.000702595
260,0.022412179,XGB_prob,,0.06,0.029333103
260,0.00011514,XGB_prob,,0,0.002897759
260,1.08E-05,XGB_prob,,0,5.94E-05
260,4.66E-05,XGB_prob,,0,0.002390737
260,0.000238069,XGB_prob,,0.02,0.004092133
216,0.000373842,XGB_prob,,0,0.004233837
103,6.84E-06,XGB_prob,,0,4.45E-05
260,5.53E-05,XGB_prob,,0,0.000411252
258,5.67E-05,XGB_prob,,0,0.000452451
111,4.94E-05,XGB_prob,,0,0.001008759
260,8.12E-05,XGB_prob,,0.07,0.042772295
260,3.12E-05,XGB_prob,,0.01,0.000411684
258,2.15E-05,XGB_prob,,0,0.004257954
260,9.15E-06,XGB_prob,,0,0.000193269
260,0.000569672,XGB_prob,,0.03,0.002351684
256,4.96E-05,XGB_prob,,0.01,0.001384779
119,2.14E-05,XGB_prob,,0,0.009877386
238,0.001323491,XGB_prob,,0.01,0.03737988
260,1.99E-05,XGB_prob,,0,0.000749423
171,5.57E-05,XGB_prob,,0,0.000108632
178,0.003907027,XGB_prob,,0.1,0.00761756
260,4.89E-05,XGB_prob,,0,0.00079452
77,0.000290462,XGB_prob,,0,0.008775927
260,6.84E-06,XGB_prob,,0,0.00020926
260,3.70E-05,XGB_prob,,0,0.000620284
260,1.21E-05,XGB_prob,,0,0.000202565
50,2.10E-05,XGB_prob,,0,0.00019025
260,0.01962317,XGB_prob,,0.16,0.5
196,3.60E-05,XGB_prob,,0,0.000154105
260,1.35E-05,XGB_prob,,0,0.000363993
260,0.000705406,XGB_prob,,0,0.014154193
260,0.000201921,XGB_prob,,0,0.002681165
258,0.000125923,XGB_prob,,0,0.000713649
260,1.91E-05,XGB_prob,,0,0.000201076
170,0.005635639,XGB_prob,,0.1,0.030000657
256,6.35E-06,XGB_prob,,0,0.004021283
260,6.69E-05,XGB_prob,,0,0.000166167
260,0.003641393,XGB_prob,,0.1,0.227387321
54,1.82E-05,XGB_prob,,0,0.000491986
260,1.49E-05,XGB_prob,,0,0.000370916
133,6.44E-05,XGB_prob,,0,0.008514461
255,1.19E-05,XGB_prob,,0,0.00020716
95,1.22E-05,XGB_prob,,0,0.000955403
131,5.67E-05,XGB_prob,,0,0.000631757
259,1.22E-05,XGB_prob,,0,0.000378075
256,6.52E-05,XGB_prob,,0,0.002006093
258,8.76E-06,XGB_prob,,0,0.000106058
59,0.005280159,XGB_prob,,0.03,0.037358587
260,0.000129684,XGB_prob,,0,0.002625707
236,0.001583036,XGB_prob,,0.03,0.03735407
240,0.019825237,XGB_prob,,0.04,0.037403891
107,0.000112004,XGB_prob,,0,0.002089068
209,1.92E-05,XGB_prob,,0.01,0.000543543
256,5.48E-05,XGB_prob,,0,0.001501318
147,3.32E-05,XGB_prob,,0,0.004363614
260,6.95E-05,XGB_prob,,0,0.000113823
260,6.68E-06,XGB_prob,,0,0.000546066
256,0.000229694,XGB_prob,,0,0.001335724
260,8.48E-06,XGB_prob,,0,0.000112009
239,5.29E-05,XGB_prob,,0.04,0.037371465
231,2.55E-05,XGB_prob,,0,0.000687598
258,3.19E-05,XGB_prob,,0,0.002844057
260,2.57E-05,XGB_prob,,0,4.05E-05
216,8.48E-06,XGB_prob,,0,7.59E-05
260,2.26E-05,XGB_prob,,0,0.000506839
260,2.50E-05,XGB_prob,,0,0.000432386
260,1.19E-05,XGB_prob,,0,0.000195834
260,2.54E-05,XGB_prob,,0,0.000229338
250,3.17E-05,XGB_prob,,0,0.00127724
256,0.007808844,XGB_prob,,0.1,0.020349749
258,0.000106263,XGB_prob,,0.01,0.005198093
179,0.000280295,XGB_prob,,0,0.003320129
260,0.000221243,XGB_prob,,0.02,0.010380697
260,0.073045269,XGB_prob,,0.25,0.037382342
260,3.40E-05,XGB_prob,,0,0.000679603
215,3.61E-05,XGB_prob,,0,0.000783936
260,4.32E-05,XGB_prob,,0,0.000209242
260,1.15E-05,XGB_prob,,0,0.000123901
259,7.11E-05,XGB_prob,,0,0.005512381
80,1.02E-05,XGB_prob,,0,0.000185955
22,9.59E-06,XGB_prob,,0,0.000272386
209,6.20E-06,XGB_prob,,0,3.15E-05
260,0.000507753,XGB_prob,,0.01,0.004564812
260,6.28E-05,XGB_prob,,0,0.00737336
109,9.64E-06,XGB_prob,,0,0.000210029
256,1.07E-05,XGB_prob,,0,0.000351362
260,3.72E-05,XGB_prob,,0,0.000256114
260,0.001529656,XGB_prob,,0.11,0.010525089
93,0.052009113,XGB_prob,,0.19,0.92748086
260,1.08E-05,XGB_prob,,0,8.66E-05
118,0.000236778,XGB_prob,,0.02,0.02425022
260,4.48E-05,XGB_prob,,0,0.024670945
259,2.01E-05,XGB_prob,,0,0.00025075
234,1.94E-05,XGB_prob,,0,0.000174962
260,0.000852301,XGB_prob,,0.02,0.005902462
260,6.19E-06,XGB_prob,,0,0.000135503
169,2.31E-05,XGB_prob,,0,0.000967134
160,3.01E-05,XGB_prob,,0,0.001378158
258,0.000171281,XGB_prob,,0.01,0.004405459
83,0.000577844,XGB_prob,,0,0.00071866
258,1.27E-05,XGB_prob,,0,7.99E-05
209,9.25E-05,XGB_prob,,0,0.002982379
260,1.22E-05,XGB_prob,,0,0.00054864
259,0.000131742,XGB_prob,,0,0.00062951
260,0.000108032,XGB_prob,,0,0.012611965
260,3.15E-05,XGB_prob,,0,0.000988008
107,1.50E-05,XGB_prob,,0,0.000718253
256,7.97E-05,XGB_prob,,0,0.018414472
133,0.000487467,XGB_prob,,0.01,0.030475131
260,0.000616195,XGB_prob,,0,0.002305946
256,8.74E-05,XGB_prob,,0,0.000692902
260,0.000728861,XGB_prob,,0.1,0.020424754
258,2.92E-05,XGB_prob,,0,0.000355961
260,5.80E-05,XGB_prob,,0,0.000949748
237,6.32E-05,XGB_prob,,0,0.00024329
246,3.44E-05,XGB_prob,,0.01,0.001212651
76,0.000225961,XGB_prob,,0.01,0.011107091
238,1.11E-05,XGB_prob,,0,6.69E-05
260,2.51E-05,XGB_prob,,0.01,0.037443509
200,1.77E-05,XGB_prob,,0,0.000605108
82,0.00436923,XGB_prob,,0.08,0.01400962
168,1.71E-05,XGB_prob,,0,0.000119718
203,4.93E-05,XGB_prob,,0,0.001973164
260,0.0005182,XGB_prob,,0.05,0.010927323
216,0.619281352,XGB_prob,,0.1,0.043247502
174,8.49E-05,XGB_prob,,0,3.09E-05
250,7.36E-05,XGB_prob,,0.01,0.002271773
260,0.00027814,XGB_prob,,0,0.001249474
260,0.00068658,XGB_prob,,0.02,0.037369094
93,1.97E-05,XGB_prob,,0,0.013503718
179,0.001714181,XGB_prob,,0,0.037381339
260,7.79E-05,XGB_prob,,0,0.000612848
259,6.38E-05,XGB_prob,,0,0.004885509
178,1.20E-05,XGB_prob,,0,0.000249621
260,5.11E-05,XGB_prob,,0,0.00057282
260,2.86E-05,XGB_prob,,0,0.000155733
256,5.98E-05,XGB_prob,,0,0.001583659
260,0.001366974,XGB_prob,,0.02,0.009087534
260,3.00E-05,XGB_prob,,0,0.000237182
260,1.30E-05,XGB_prob,,0,0.000199779
60,1.16E-05,XGB_prob,,0,0.000284318
257,7.52E-05,XGB_prob,,0,0.037394909
259,5.40E-05,XGB_prob,,0,0.00076435
240,7.66E-06,XGB_prob,,0,0.010479373
109,3.17E-05,XGB_prob,,0,0.000198363
85,2.36E-05,XGB_prob,,0,0.001610667
256,0.000101501,XGB_prob,,0,0.000711754
93,0.001404594,XGB_prob,,0.02,0.024745643
259,2.78E-05,XGB_prob,,0,5.70E-05
117,0.001858855,XGB_prob,,0.01,0.037399417
260,1.53E-05,XGB_prob,,0,0.000230864
259,9.73E-05,XGB_prob,,0,0.002006895
208,0.000131003,XGB_prob,,0,0.018863913
260,0.000101163,XGB_prob,,0,0.006842517
105,2.60E-05,XGB_prob,,0,0.000487915
260,0.000135018,XGB_prob,,0,0.000213124
259,4.75E-05,XGB_prob,,0,0.001559398
169,0.000286464,XGB_prob,,0,0.004019513
79,0.007798561,XGB_prob,,0.04,0.037341146
260,1.19E-05,XGB_prob,,0,0.000593248
258,0.00107207,XGB_prob,,0.01,0.015725567
260,6.48E-05,XGB_prob,,0,0.000352705
250,0.000158258,XGB_prob,,0,0.003832362
259,3.70E-05,XGB_prob,,0,0.000502494
99,5.37E-05,XGB_prob,,0,0.003634042
259,1.71E-05,XGB_prob,,0,0.000525996
260,1.49E-05,XGB_prob,,0,0.000253189
89,0.000430814,XGB_prob,,0,0.008317565
248,0.000115061,XGB_prob,,0,5.60E-05
100,9.73E-05,XGB_prob,,0,0.000673585
233,3.69E-05,XGB_prob,,0,0.004069455
260,9.59E-06,XGB_prob,,0,0.000364689
260,7.54E-06,XGB_prob,,0,0.000177149
197,2.28E-05,XGB_prob,,0,0.001107884
260,1.81E-05,XGB_prob,,0,3.37E-05
260,2.55E-05,XGB_prob,,0,0.000115245
172,2.58E-05,XGB_prob,,0,0.000361315
259,2.15E-05,XGB_prob,,0,0.000250184
137,0.000194723,XGB_prob,,0.04,0.006457592
260,6.57E-05,XGB_prob,,0,0.000215839
258,0.000456078,XGB_prob,,0,0.007443172
260,2.88E-05,XGB_prob,,0,0.001746197
255,5.97E-05,XGB_prob,,0,0.001630327
260,2.55E-05,XGB_prob,,0,0.000116011
240,0.001584438,XGB_prob,,0.07,0.036630408
260,8.03E-05,XGB_prob,,0.01,0.000724507
171,0.000332788,XGB_prob,,0,0.000553381
116,1.30E-05,XGB_prob,,0,0.000447315
260,0.008637295,XGB_prob,,0.15,0.037363352
260,0.000140375,XGB_prob,,0,0.001555877
260,8.82E-05,XGB_prob,,0,0.00054115
260,0.102386303,XGB_prob,,0.3,0.999999483
259,2.03E-05,XGB_prob,,0,0.011031581
256,3.63E-05,XGB_prob,,0,0.00520958
32,0.003472244,XGB_prob,,0.03,0.00364061
260,6.53E-06,XGB_prob,,0,7.93E-05
104,7.65E-05,XGB_prob,,0,0.023702677
241,9.08E-06,XGB_prob,,0,0.001347905
260,0.000150898,XGB_prob,,0,0.000920712
210,1.05E-05,XGB_prob,,0,0.000491992
119,0.000264327,XGB_prob,,0.01,0.00125122
248,5.88E-05,XGB_prob,,0,0.017668323
249,2.38E-05,XGB_prob,,0,0.000225805
260,0.000408154,XGB_prob,,0.01,0.001500787
250,0.000153455,XGB_prob,,0,0.008409392
260,5.18E-05,XGB_prob,,0,0.020043508
258,0.000327035,XGB_prob,,0,0.012887373
251,0.000143084,XGB_prob,,0,0.002354688
22,0.000541477,XGB_prob,,0,0.008503197
179,2.21E-05,XGB_prob,,0,0.000285895
260,7.46E-06,XGB_prob,,0,0.000158026
93,3.14E-05,XGB_prob,,0,0.005600066
260,8.53E-05,XGB_prob,,0,0.002570336
251,5.72E-05,XGB_prob,,0,0.000936037
260,9.72E-06,XGB_prob,,0,0.000438292
260,4.04E-05,XGB_prob,,0,0.000385944
260,4.27E-05,XGB_prob,,0,0.000254637
260,8.82E-05,XGB_prob,,0,0.00012971
260,1.52E-05,XGB_prob,,0,0.000139773
260,1.41E-05,XGB_prob,,0,3.73E-05
260,2.87E-05,XGB_prob,,0,0.013429196
32,1.12E-05,XGB_prob,,0,0.000513605
256,1.12E-05,XGB_prob,,0,0.000371345
135,1.89E-05,XGB_prob,,0,0.001214908
260,0.0195159,XGB_prob,,0.04,0.077547393
105,0.000775373,XGB_prob,,0.01,0.029563133
259,2.55E-05,XGB_prob,,0.02,0.001455558
260,9.57E-05,XGB_prob,,0,0.000739687
260,0.00012606,XGB_prob,,0,0.000823601
216,4.72E-05,XGB_prob,,0,0.00230981
237,0.000355259,XGB_prob,,0,0.003754939
239,1.96E-05,XGB_prob,,0,8.70E-05
260,0.000156978,XGB_prob,,0,0.037406798
260,2.41E-05,XGB_prob,,0,0.000187654
43,8.42E-05,XGB_prob,,0,0.00219193
209,2.43E-05,XGB_prob,,0,0.000763499
203,0.003481776,XGB_prob,,0.01,0.011735349
237,9.67E-05,XGB_prob,,0.02,0.00239546
260,8.31E-06,XGB_prob,,0,6.74E-05
