site,XGB_prob,RF_prob,SVM_prob
218,4.19E-05,0.02,0.001377563
1148,0.003070832,0.04,0.125832476
418,0.002155136,0,0.006424344
410,0.017656228,0.09,0.106777865
60,4.25E-05,0,0.003888908
569,1.18E-05,0,0.00380034
254,2.20E-05,0.01,0.001773275
768,6.11E-05,0,0.019114158
218,0.000103184,0,0.002346162
1148,2.47E-06,0,0.014848179
242,1.56E-05,0,0.032169997
338,0.00057283,0.01,0.019482545
239,0.000223719,0,0.00239033
1169,0.000442994,0,0.041903993
395,0.000920869,0.02,0.01660606
492,5.99E-05,0,0.021614423
489,0.000965533,0.02,0.02590053
350,0.00053259,0,0.012545435
228,6.39E-05,0,0.002843169
1158,1.65E-05,0,0.005387719
288,0.000482689,0,0.007003932
703,0.000104496,0,0.014233538
256,8.13E-05,0.01,0.039567778
492,0.002977267,0.01,0.089310335
620,0.005124208,0.01,0.084769205
229,0.011013722,0.07,0.256849263
1159,0.020392112,0.05,0.07152779
84,3.77E-05,0,0.008614112
498,3.20E-05,0,0.002588037
239,7.64E-05,0,0.001318309
1169,0.003725322,0,0.082095648
239,1.01E-05,0,0.002377843
1169,0.000932123,0.01,0.017158554
54,0.000246998,0,0.039907849
57,0.001347254,0.01,0.023390263
411,0.003337169,0,0.004984505
115,6.16E-05,0.01,0.022619712
522,0.001698171,0,0.018155794
260,0.008505965,0.06,0.111293854
847,0.00075211,0,0.007485888
200,0.000360145,0.02,0.066566042
811,0.01310313,0.11,0.06906249
114,0.000572088,0.01,0.041744344
239,0.021159811,0.07,0.044933531
1169,0.000196343,0.01,0.024498768
136,0.00280008,0.02,0.010139611
583,6.00E-06,0,0.029506091
493,0.000151012,0,0.065535181
564,6.38E-05,0.01,0.002073421
108,0.000240387,0,0.026907411
385,2.22E-05,0,0.005817896
317,0.00511296,0,0.022213056
216,0.000704397,0,0.017374417
71,0.001898474,0.03,0.006382308
896,0.000749102,0,0.020038131
374,0.001957656,0,0.004828959
238,0.022284862,0.04,0.190934204
1168,0.000172617,0,0.000928286
60,0.002949651,0.02,0.02288563
488,7.53E-05,0,0.003707606
434,0.006375029,0,0.018560711
109,0.006344959,0.02,0.031995523
239,8.10E-05,0,0.002315371
1169,2.06E-05,0,0.031350389
289,0.001299993,0.04,0.045891344
270,0.000105616,0.01,0.013185527
152,0.000145442,0.02,0.045786061
229,1.39E-06,0,0.015781122
1159,0.000172678,0.01,0.040427652
686,2.35E-06,0,0.006303044
83,0.029396392,0.06,0.202112235
1013,0.032618478,0.01,0.023541578
407,0.03468981,0.01,0.033508635
939,0.000197619,0,0.011830392
77,0.00126097,0.01,0.008168333
1007,0.002025892,0,0.013158588
85,4.21E-05,0,0.003094311
239,0.000114004,0,0.007322869
1169,0.004313031,0,0.084337105
239,7.26E-05,0,0.007434529
1169,2.80E-05,0,0.002497611
238,3.34E-05,0,0.003422823
1168,3.63E-05,0,0.006932391
935,4.10E-05,0,0.011284352
21,0.000698087,0,0.011827816
239,0.000142042,0,0.022945372
1169,0.000548915,0,0.030340608
45,0.011194497,0.07,0.069038695
382,0.002072365,0.01,0.089334808
214,1.60E-05,0,0.000353463
1144,0.001354017,0.01,0.009980364
668,4.02E-05,0,0.006528184
834,0.005372293,0,0.004672769
320,0.000678829,0.01,0.009264828
408,1.97E-05,0,0.012713062
24,7.39E-05,0,0.002904239
350,6.58E-05,0,0.005569668
18,0.252167821,0.52,0.5
162,0.00113758,0,0.041900406
239,2.30E-05,0.01,0.014389147
1169,0.000177751,0,0.012393985
101,0.000425125,0.06,0.012934529
60,0.016775444,0.01,0.013535488
58,0.000174133,0,0.014380098
103,0.001137862,0.05,0.03999038
668,0.04231748,0.04,0.519917235
239,0.061549008,0.19,0.93035829
1169,0.19357951,0.18,0.734454293
145,0.000308088,0,0.002491263
1075,3.38E-05,0,0.003239559
58,0.024001949,0.09,0.060815649
503,0.000216651,0.02,0.012822072
284,0.000354232,0,0.009288969
54,5.23E-05,0,0.004007114
984,0.013112598,0.04,0.02184171
70,5.60E-06,0,0.001650631
1000,0.043723457,0,0.02882177
208,1.30E-05,0,0.016063183
66,0.004042733,0.01,0.05543553
306,0.005196771,0,0.01888426
220,0.000116081,0,0.008269478
181,0.000158849,0,0.008022384
1111,0.000738375,0,0.044988928
78,0.000671937,0,0.005858004
88,0.001979879,0.03,0.028979306
322,0.000404793,0,0.029435172
168,0.000240905,0,0.017856335
84,0.000161074,0,0.013186939
107,5.11E-05,0.02,0.015864015
418,0.000192001,0,0.009341104
97,0.004201891,0.03,0.023624795
108,0.001475988,0.02,0.001602787
363,0.000503151,0,0.089308853
216,4.32E-05,0,0.000570337
1146,1.00E-04,0,0.005899284
42,0.000118787,0.01,0.021189866
567,0.000894029,0,0.005059103
530,0.007317165,0.02,0.023993701
217,5.70E-06,0,0.006924843
695,3.70E-05,0,0.001239776
351,0.019152971,0.08,0.061534408
287,0.000561568,0,0.076129172
188,9.90E-05,0,0.036705324
239,1.67E-05,0,0.002864275
1169,4.68E-06,0,0.006384959
931,0.000151657,0.02,0.009299958
358,0.000360332,0.02,0.006350573
62,6.97E-05,0.01,0.018797638
461,4.62E-05,0,0.002880685
253,0.000815359,0,0.01108975
844,0.005633958,0.01,0.02411469
99,0.000323499,0,0.007495965
237,0.000916922,0,0.064246969
248,0.010030043,0.01,0.004352906
237,4.23E-05,0,0.001964452
1167,0.00076218,0.01,0.027713537
239,9.03E-06,0,0.000653805
1169,0.000424402,0,0.000983434
60,1.47E-05,0,0.01605284
557,0.000277285,0,0.016889683
186,2.97E-05,0,0.068313745
80,7.37E-06,0,0.006467315
1010,0.000110474,0,0.01348634
239,9.25E-06,0,0.004359404
1169,0.005499699,0,0.089368693
239,0.001996337,0.02,0.001796531
1169,6.83E-05,0,0.003164029
259,0.000163988,0.01,0.007159828
831,0.004116199,0.01,0.077895713
614,0.001247841,0,0.057337333
503,0.000114906,0,0.053677493
845,1.07E-05,0,0.001352171
131,0.000367648,0.03,0.038066567
32,0.00079292,0.07,0.011839908
705,0.00647706,0.01,0.031062104
763,0.00373149,0,0.085543181
48,0.070018835,0.04,0.142300871
425,0.002573044,0,0.04226935
16,0.01315132,0.18,0.093593527
254,0.000430352,0,0.008574955
559,0.000547364,0,0.020632477
237,0.000681602,0.02,0.016105037
1167,0.000393238,0,0.059269102
140,0.00096379,0.04,0.008272915
163,0.001010975,0.01,0.008040598
316,0.0030791,0.01,0.016584714
219,0.001862672,0.01,0.018386998
44,0.010436278,0.06,0.070775629
194,2.49E-05,0,0.003659177
1124,5.31E-06,0,0.030916807
239,7.08E-05,0,0.019255388
1169,0.000231774,0,0.006577493
861,0.034824699,0.32,0.014367469
237,0.00018243,0,0.002950161
1167,0.000246954,0,0.045168084
158,0.011911003,0.06,0.061560775
101,2.48E-05,0,0.001634146
1031,1.05E-05,0,0.000547688
219,0.000108453,0,0.002054445
1149,0.006049538,0,0.050856627
640,0.000330365,0.01,0.046299994
388,0.000498217,0,0.010232427
645,0.000434663,0.01,0.005102568
38,6.88E-05,0,0.006147685
239,0.003091429,0.02,0.016802631
1169,0.000255203,0,0.017581615
78,8.56E-06,0,0.016143624
97,5.44E-05,0,0.000910078
1027,0.011665132,0,0.106871657
109,0.019435935,0.16,0.124895173
510,3.97E-05,0,0.002827088
707,1.24E-05,0.01,0.007411755
56,0.000172881,0,0.019088437
219,4.61E-06,0,0.001387629
1149,9.35E-05,0,0.01612587
22,0.002495518,0.01,0.031081407
90,0.006287444,0.01,0.040419367
105,3.99E-05,0.01,0.007596496
406,5.39E-05,0.02,0.003507233
816,1.87E-05,0.01,0.021290429
135,6.01E-05,0,0.017519721
212,0.003754401,0.05,0.089384405
1142,0.000427107,0.01,0.01127334
257,0.094059743,0.15,0.425598165
239,0.000112316,0,0.031882928
1169,3.90E-06,0,0.004345465
311,0.000169672,0,0.017230885
45,8.98E-05,0,0.01763647
238,8.60E-05,0.01,0.007099101
1168,0.037766472,0.08,0.508416473
264,0.000383032,0.03,0.008982672
262,0.079777807,0.54,0.979164665
78,0.00026662,0,0.012352197
239,4.01E-05,0,0.00267084
1169,0.002957993,0,0.020726873
238,3.18E-05,0.01,0.005924676
1168,9.91E-05,0.02,0.028603686
101,8.85E-06,0,0.01870276
178,4.73E-05,0,0.006306395
72,0.000151549,0,0.019120559
1002,4.76E-05,0,0.007947428
845,2.57E-05,0.01,0.001458305
407,0.00424252,0.16,0.063230057
528,6.80E-05,0.01,0.002487479
191,0.000397148,0.04,0.060898305
415,0.000125736,0.01,0.009079964
239,4.17E-05,0,0.000742733
1169,1.92E-06,0.01,0.01281904
239,1.19E-06,0,0.00027942
1169,5.30E-05,0,0.022506117
456,1.71E-05,0,0.014504905
228,0.030389879,0.1,0.089430268
517,9.82E-05,0,0.018924369
214,0.013034776,0.11,0.061517527
262,5.56E-05,0,0.007548845
527,0.000262966,0.01,0.028214775
77,0.000176845,0.01,0.01076496
1007,0.000678933,0.01,0.024500393
33,0.000184996,0.02,0.022517876
247,3.02E-05,0,0.004342971
523,0.001675976,0.28,0.073149075
61,8.05E-05,0.01,0.001406157
699,8.71E-05,0.02,0.060737558
84,0.028171251,0.1,0.24533751
418,7.39E-05,0,0.006096889
239,7.00E-05,0.03,0.012264155
1169,6.67E-05,0,0.018589494
626,0.004816202,0.04,0.074030004
111,0.001976116,0,0.007767317
285,0.022069683,0.05,0.049253496
219,3.65E-05,0,0.000488475
1149,7.18E-07,0,0.018452107
72,5.54E-05,0,0.012271307
151,0.00020806,0.01,0.004422198
156,1.01E-05,0,0.021555195
460,0.000891634,0.01,0.060331116
177,0.00028774,0,0.005890716
108,0.000176002,0,0.031390282
199,0.000871968,0,0.017048334
175,5.29E-05,0,0.061794926
108,0.00015125,0,0.014526572
80,6.24E-05,0.02,0.008577837
98,0.000235999,0.04,0.026244076
249,3.30E-05,0,0.002152093
924,7.72E-05,0,0.036613015
206,0.002304903,0.01,0.025596605
194,4.90E-05,0,0.00347869
1124,0.000121127,0,0.00304307
54,0.001032024,0.04,0.019423592
984,0.000398158,0.02,0.015822505
125,0.000359175,0.02,0.010420425
133,0.002012829,0,0.048689038
1063,0.000257821,0,0.004707713
253,5.73E-06,0,0.015431896
239,3.55E-07,0,0.001773306
1169,9.76E-06,0,0.00085394
758,6.39E-06,0,0.009783526
834,8.59E-05,0,0.014156727
84,0.000124677,0,0.008455441
228,9.17E-06,0.01,0.000642387
1158,6.00E-05,0.01,0.000804551
37,0.000766069,0.01,0.007307916
63,1.29E-05,0,0.006687509
86,2.80E-05,0,0.005828911
1016,0.001067581,0,0.021345368
589,2.06E-05,0,0.011090424
396,5.76E-05,0,0.001029301
829,6.63E-05,0,0.008941895
259,0.000465792,0,0.026892834
517,4.31E-05,0,0.003991479
112,3.93E-05,0,0.001317029
1042,0.000110934,0,0.003613514
148,0.002086457,0.01,0.026627749
239,3.49E-05,0,0.000913153
1169,0.000101306,0,0.003111199
86,6.99E-05,0,0.002178844
1016,0.003576027,0.01,0.040046483
845,0.00276625,0.02,0.07876545
510,0.003541532,0,0.033774666
388,0.069594003,0.12,0.089398293
215,0.014733071,0,0.029450459
227,7.45E-06,0,0.003088936
1157,0.003862934,0.01,0.057468113
123,1.45E-05,0,0.004214232
61,9.27E-05,0.01,0.00532095
668,5.12E-05,0.01,0.010337408
32,0.000867339,0,0.053227177
427,7.26E-05,0,0.033800038
32,1.12E-05,0,0.000471786
962,0.004597107,0.01,0.017861059
201,7.67E-05,0,0.023634611
108,2.80E-05,0,0.039299959
24,0.00037014,0,0.00928125
56,0.001458153,0.04,0.008936788
70,2.14E-05,0.02,0.017490383
1000,0.001695521,0,0.041165639
229,2.48E-05,0,0.002837178
1159,2.80E-06,0,0.009364597
59,0.012385914,0.09,0.033395655
153,0.004509003,0,0.073525026
64,0.091436774,0.18,0.089293587
401,0.048050892,0.02,0.059534168
21,0.043519702,0.1,0.144843708
235,0.000237626,0,0.026587676
1165,0.000604196,0,0.021404394
216,0.001057269,0.05,0.06896853
549,2.87E-05,0,0.003083403
94,0.002921088,0.04,0.073837048
374,0.192778602,0.24,0.790660039
73,0.000998979,0.01,0.053310809
114,5.07E-05,0,0.058788805
34,0.145519853,0.16,0.170799477
116,5.43E-06,0,0.051065651
217,0.000689396,0.02,0.024606798
1147,0.051541284,0.01,0.110571884
105,0.001129836,0.04,0.089356854
529,0.000368166,0.04,0.009422728
739,8.09E-06,0,0.024740993
187,2.70E-05,0,0.001863023
1117,4.26E-05,0,0.018355656
220,0.000277105,0,0.007811037
156,0.002743744,0,0.01443889
265,0.00065848,0,0.003615643
625,0.000426791,0,0.012245422
239,0.000111108,0,0.005055001
1169,0.00016616,0,0.029996435
688,0.000508264,0.01,0.066779083
391,0.060671538,0.1,0.414072251
237,6.17E-05,0.01,0.001664413
1167,0.008188108,0.04,0.076913564
13,0.000159428,0.01,0.036635721
438,0.000405513,0,0.049671209
239,5.85E-05,0,0.001240751
1169,0.002474395,0.02,0.041748166
114,3.14E-05,0,0.017482033
158,0.000284677,0,0.036935663
564,0.000249872,0.03,0.045260106
577,0.001911522,0.02,0.059709638
115,0.000103051,0,0.001347316
206,0.025467066,0.15,0.139249802
338,0.000429024,0,0.007533877
239,1.27E-05,0,0.004251271
1169,0.000121097,0,0.007998746
742,0.000224513,0,0.006562919
23,0.000174007,0,0.029289329
351,7.46E-06,0,0.006448073
83,0.000156325,0,0.00727772
532,0.000314597,0,0.002664232
832,0.000121757,0,0.003575244
55,2.87E-05,0.01,0.008014709
985,0.000203738,0,0.003984019
354,5.32E-05,0.01,0.003806531
166,0.015026502,0.04,0.403349789
460,0.016333539,0.04,0.069425372
394,8.06E-05,0,0.003857334
237,2.90E-05,0,0.021144745
1167,5.94E-05,0,0.017703612
243,4.78E-05,0,0.006906534
454,0.000734799,0,0.013657045
237,0.000594211,0,0.006197419
1167,0.003873757,0.02,0.011608948
19,8.64E-06,0,0.001052536
949,0.005597803,0.01,0.003368829
408,6.02E-06,0,0.015732941
239,0.041882794,0.05,0.343523881
1169,0.161427125,0.33,0.940016959
239,0.010017456,0.02,0.258730141
1169,0.016802,0.02,0.023084734
140,0.000367221,0,0.041855599
153,0.002336207,0.04,0.031418382
652,4.22E-05,0,0.011195321
66,0.000877564,0,0.061306314
177,0.011834593,0.02,0.020660059
239,0.000210669,0.01,0.002405517
1169,1.60E-05,0,0.002464077
266,5.46E-05,0.01,0.037779759
456,2.98E-05,0,0.006469953
415,7.39E-05,0,0.007502893
239,0.000223478,0.02,0.045991188
1169,2.04E-05,0,0.002057391
415,0.00231822,0.04,0.027183266
532,0.01132495,0.1,0.070392453
114,3.29E-05,0,0.036497001
218,3.22E-05,0,0.001246975
1148,0.001265929,0,0.045821004
322,3.31E-05,0,0.003472589
864,0.000162784,0,0.006619773
392,0.000356527,0,0.009087453
363,0.000160476,0.01,0.064000381
741,0.009270418,0.03,0.0538648
144,6.64E-05,0,0.011033899
104,0.004032432,0,0.01334323
239,7.36E-06,0,0.000878983
1169,9.10E-07,0,0.015123846
298,0.000165031,0,0.008652305
19,0.00049092,0.03,0.046687334
238,1.77E-05,0,0.000322732
1168,7.77E-05,0,0.025489649
239,3.33E-05,0,0.005503031
1169,1.61E-05,0,0.023346905
207,0.000184529,0.01,0.002251194
191,0.000855377,0.02,0.068727594
862,0.000403651,0,0.061071214
239,0.001173797,0.01,0.003434369
1169,0.002485807,0.02,0.041898343
436,2.16E-05,0,0.002928764
710,0.000804623,0.01,0.010913145
43,0.001476225,0,0.062763097
396,0.00017538,0.05,0.036812213
216,0.000641693,0.01,0.061084745
1146,2.91E-05,0.01,0.003892998
230,0.047151495,0.35,0.677629662
16,0.016481951,0.1,0.05452098
36,0.000183718,0,0.014383276
206,0.001315818,0,0.039105167
537,0.120712265,0.53,0.46517258
110,0.012389216,0.07,0.04952702
229,0.000261774,0,0.0059502
1159,1.89E-05,0,0.002627879
47,8.51E-06,0,0.015099566
63,3.09E-05,0.01,0.012581514
769,0.00140828,0.02,0.02393594
38,5.19E-05,0,0.013602784
97,0.000328962,0.01,0.06981072
1027,0.977600515,0.37,0.787373476
177,0.05346166,0.1,0.075837127
106,0.000304698,0,0.063795406
502,4.41E-05,0,0.001927357
53,0.005635655,0.02,0.044782545
235,0.00152648,0.04,0.008243484
1165,0.000788109,0.01,0.057217834
115,0.000558821,0,0.026191059
67,0.000551929,0.03,0.076670604
372,0.00012018,0,0.008395324
239,0.028729457,0.11,0.291011475
1169,0.003799371,0.04,0.089396652
926,0.000375796,0,0.006473077
319,0.005105277,0.02,0.010714617
235,2.27E-05,0,0.003163572
1165,0.000116108,0,0.008383295
77,5.70E-05,0,0.002677928
1007,0.000487718,0,0.004900848
27,0.000468287,0.03,0.006593489
957,0.000235951,0,0.035090824
503,0.000148268,0,0.006159877
140,0.001401727,0.01,0.014117446
882,0.000136583,0,0.010519504
237,1.34E-05,0,0.00384354
1167,0.138039738,0.23,0.087036377
219,4.74E-05,0,0.008146636
1149,0.000194929,0,0.004311439
332,5.32E-06,0,0.018781092
677,0.166891828,0.65,0.461577421
903,4.13E-06,0,0.004594606
25,0.009270242,0.03,0.058151501
418,1.46E-06,0,0.020006157
863,0.000968944,0.01,0.055152249
33,0.094552383,0.06,0.07840765
33,4.04E-05,0,0.003768063
169,0.000102991,0,0.006908481
841,3.13E-05,0,0.016904562
708,0.001047794,0,0.011522625
19,1.77E-05,0,0.00151865
239,0.000115875,0,0.002903377
1169,3.56E-06,0,0.001857604
343,5.59E-06,0,0.009484778
607,0.000111596,0,0.002917051
358,0.028459668,0.03,0.07065233
256,4.35E-05,0,0.001300203
554,0.045899801,0.01,0.036704771
235,0.14912872,0.14,0.613970217
1165,0.007752528,0.01,0.030365257
263,0.000179141,0,0.010340983
238,0.035756044,0.24,0.43692283
1168,0.064210154,0.4,0.267916893
306,3.74E-05,0,0.050149643
239,0.000130465,0,0.003500918
1169,3.99E-05,0,0.015716199
785,9.33E-05,0,0.007992344
788,0.000448104,0,0.052029259
24,0.000440303,0,0.009808037
239,0.000401701,0,0.003166497
1169,2.51E-05,0,0.021264876
32,2.13E-06,0,0.000206598
962,2.32E-05,0,0.012440772
251,0.001075657,0.01,0.020415433
24,4.38E-05,0,0.003833699
614,0.006332462,0.06,0.169989061
563,8.28E-06,0,0.001910602
239,0.000146111,0.01,0.000663314
1169,4.31E-05,0,0.007540209
239,9.69E-05,0.01,0.003785857
1169,0.000182129,0,0.012135926
319,0.028860252,0.03,0.032643742
17,0.009658218,0.14,0.071567997
202,2.23E-05,0,0.006389379
140,5.98E-06,0,0.013335274
273,0.000429945,0,0.002899301
86,0.036066249,0.29,0.085263701
1016,0.003122505,0.01,0.00874829
211,0.062561311,0.09,0.312875386
1141,0.01650908,0.14,0.184037241
52,2.68E-05,0,0.001916825
982,5.84E-05,0,0.003758368
460,0.037961211,0.4,0.08930605
81,0.000317246,0.01,0.016382313
360,0.055328097,0.15,0.382857172
221,5.98E-05,0,0.004350783
1151,0.000185465,0.02,0.018411878
112,2.74E-06,0,0.001530737
1042,1.88E-06,0,0.004961835
285,2.86E-05,0,0.003303836
389,4.47E-05,0,0.005111158
75,6.89E-06,0,0.044228332
96,0.000962639,0.04,0.021405913
906,4.47E-05,0.04,0.028943227
658,3.65E-06,0,0.065332744
206,2.01E-05,0,0.00479734
114,1.70E-05,0,0.001822127
158,2.31E-05,0,0.029213271
288,0.001319252,0.03,0.006848724
195,1.87E-05,0.01,0.000407489
1125,0.005773901,0,0.0025035
91,0.000199533,0,0.027679064
596,0.116599888,0.1,0.17670876
237,0.000268797,0,0.002058943
1167,0.000780304,0,0.015792525
788,2.70E-05,0.02,0.002461186
229,0.000146712,0,0.007151804
1159,0.000132759,0,0.007116172
55,0.001629309,0.03,0.016518732
985,0.000119582,0,0.000770457
61,0.000115503,0,0.002645327
238,0.000604353,0.02,0.004419671
1168,0.00016966,0,0.076627728
263,0.000831823,0,0.010367862
239,9.21E-05,0,0.007628601
1169,1.56E-05,0,0.031138669
239,3.51E-05,0,0.002402524
1169,2.83E-05,0,0.012919806
527,7.37E-05,0,0.005165855
752,0.002268957,0.15,0.079994653
407,3.23E-05,0,0.007262489
108,2.45E-05,0.01,0.000540669
224,0.000995821,0.03,0.012783398
389,5.77E-05,0.01,0.001712734
263,6.71E-06,0,0.004266902
498,0.00012563,0.01,0.006938787
388,2.37E-05,0,0.010312673
708,5.80E-05,0,0.005810217
518,0.001492056,0,0.038400313
239,0.000207135,0,0.002838722
1169,4.18E-05,0,0.011528166
274,0.002709751,0.01,0.018373411
565,0.00139663,0,0.023420092
170,0.004150772,0,0.014956162
755,8.34E-05,0,0.01981296
358,0.001466593,0,0.020222459
55,0.011260758,0.02,0.089346794
289,0.011506745,0.03,0.041753192
351,4.41E-05,0,0.001895255
407,0.000642427,0,0.009484692
369,0.311744869,0.26,0.988739299
196,0.183705986,0.12,0.26037688
1126,0.00107627,0,0.059516256
239,0.00013769,0,0.007586784
1169,0.006037982,0.03,0.052521819
100,0.000151534,0.02,0.077178902
140,2.36E-05,0,0.000855671
366,0.003678605,0.04,0.011582394
242,0.033827372,0.15,0.099336829
388,9.03E-06,0.01,0.028726417
147,0.001129376,0.04,0.080105663
189,0.083795302,0.11,0.098367208
266,4.25E-05,0,0.017918869
160,4.57E-05,0,0.001482771
637,0.000124471,0,0.008800949
268,0.046863548,0.23,0.26775431
128,0.026952405,0.05,0.205186768
280,0.00022468,0,0.03761022
51,6.51E-05,0,0.047076092
981,0.000514407,0,0.019524664
699,0.051326316,0.03,0.074238401
281,7.12E-06,0,0.002329576
361,0.000211654,0,0.075136162
407,3.13E-05,0,0.001392459
844,0.00065497,0,0.008256914
171,0.027576284,0.06,0.053660607
239,0.000386187,0,0.007120084
1169,6.77E-05,0,0.021943638
17,7.92E-05,0,0.014264558
151,0.00077765,0,0.036544533
1081,0.001158113,0.03,0.013486559
646,0.000594918,0.01,0.01744733
238,1.67E-05,0,0.00047538
1168,6.01E-05,0,0.006388032
239,0.000453117,0.01,0.018563145
130,2.23E-05,0,0.062328374
118,0.00393224,0.22,0.015299542
1048,0.010118131,0.06,0.19224237
311,1.56E-05,0,0.001345264
716,1.12E-05,0,0.004252135
299,2.58E-05,0,0.003730174
549,0.000559486,0.01,0.004170565
63,0.002675354,0.01,0.010864371
900,0.052587029,0.06,0.111739143
457,2.02E-05,0,0.013898025
88,0.009796625,0.03,0.069187914
1018,0.000264602,0,0.039885182
861,0.000394859,0.01,0.015949284
333,8.84E-05,0.03,0.021838037
255,0.000552487,0,0.01071875
493,0.000584049,0,0.00127399
234,9.69E-05,0.01,0.004151228
1164,0.000579345,0.01,0.060087682
198,0.073435053,0.07,0.068659123
84,0.007904187,0,0.011774827
279,0.002995356,0.04,0.022148448
110,0.052279621,0.14,0.081885821
322,8.96E-05,0,0.013657511
788,0.004505312,0.18,0.021130592
528,3.20E-05,0.02,0.003034389
330,9.36E-05,0,0.001768736
198,0.000769743,0,0.025462788
84,1.28E-05,0,0.010151865
239,0.000706113,0.04,0.001258753
1169,0.00055925,0.02,0.005348554
347,0.000380248,0.02,0.065250172
781,0.000445648,0,0.004776808
676,4.42E-05,0,0.005863294
227,0.031161373,0.09,0.13329343
1157,0.000270137,0.02,0.041583499
290,0.000259249,0.01,0.033612247
108,0.000704147,0,0.014506598
103,0.003790345,0.02,0.019674814
391,0.000246224,0.01,0.013572057
191,0.166667759,0.21,0.416111524
22,0.000501624,0.01,0.014032292
235,0.000117873,0,0.006170215
1165,3.29E-06,0.01,0.006558376
514,4.07E-05,0.01,0.003764261
239,2.72E-05,0,0.000979141
1169,1.08E-05,0,0.008271139
206,0.006095236,0.03,0.09202305
158,8.26E-06,0,0.006822115
189,1.38E-05,0,0.003469067
1119,3.64E-05,0.01,0.00523363
237,0.000196074,0,0.012216282
1167,0.000169049,0,0.005477993
20,0.001138952,0,0.013796314
53,5.53E-05,0.01,0.000647045
983,0.003749641,0.13,0.016146839
257,0.00056347,0,0.007887028
639,0.016715657,0.03,0.059396364
229,0.000415184,0.02,0.029439048
1159,0.000387278,0.02,0.056330359
235,0.026161395,0.08,0.062821129
144,0.091604263,0.18,0.216361761
901,5.01E-06,0,0.027808408
350,7.97E-06,0.01,0.002820721
76,6.34E-05,0,0.010064332
239,0.190983549,0.22,0.718859542
1169,0.170204669,0.23,0.625524818
372,0.119553879,0.09,0.5
387,2.16E-05,0.01,0.003215866
73,0.000465415,0,0.042789624
140,0.000184304,0.03,0.031730891
136,4.37E-06,0,0.001793681
280,0.389027357,0.13,0.148031658
388,0.061377447,0.02,0.429293272
288,0.000389994,0.05,0.001414461
156,0.123742342,0.21,0.656061281
114,3.83E-05,0,0.006069336
239,3.39E-05,0,0.004985327
1169,3.29E-05,0,0.065404401
108,0.005111995,0.01,0.050404178
621,0.000341922,0,0.07137987
71,0.313369393,0.29,0.837439695
1001,0.020354168,0.17,0.43439532
532,0.130294606,0.08,0.382987138
153,0.000116797,0.01,0.002996925
638,0.000146505,0,0.007685927
215,0.000644289,0,0.013051756
287,0.000103435,0.02,0.041666634
238,0.000225774,0.01,0.005539423
1168,0.000216193,0.01,0.010980994
415,0.010295271,0,0.072360192
239,0.001753125,0.02,0.03433512
